Date,Location
02/02/2015(37.7838344374141, -122.412930522059)
02/02/2015(37.764357751686, -122.41747701285)
02/02/2015(37.764357751686, -122.41747701285)
02/02/2015(37.7841889075267, -122.410135236377)
02/02/2015(37.7657827544276, -122.407538332319)
02/02/2015(37.7841893501425, -122.407633520742)
02/02/2015(37.7841893501425, -122.407633520742)
02/02/2015(37.7985083480435, -122.409791662293)
02/02/2015(37.7837069301545, -122.408595110869)
02/01/2015(37.7620990020681, -122.415000536786)
02/02/2015(37.7739274524819, -122.412933062384)
02/02/2015(37.7123508590096, -122.418283197104)
02/04/2015(37.775420706711, -122.403404791479)
02/02/2015(37.7811192121542, -122.412596970637)
02/02/2015(37.7811192121542, -122.412596970637)
02/02/2015(37.7811192121542, -122.412596970637)
02/02/2015(37.7625723537425, -122.43466870921)
02/02/2015(37.7625723537425, -122.43466870921)
02/01/2015(37.7992089703227, -122.43340738035)
02/01/2015(37.7992089703227, -122.43340738035)
02/02/2015(37.7942457593856, -122.404685158341)
02/02/2015(37.7942457593856, -122.404685158341)
02/02/2015(37.7942457593856, -122.404685158341)
02/02/2015(37.764357751686, -122.41747701285)
02/02/2015(37.7299346936044, -122.397744427103)
02/02/2015(37.7299346936044, -122.397744427103)
02/02/2015(37.7299346936044, -122.397744427103)
02/02/2015(37.7299346936044, -122.397744427103)
02/02/2015(37.7301760161647, -122.399443658942)
02/02/2015(37.7521716091721, -122.419560437883)
02/02/2015(37.7521716091721, -122.419560437883)
02/02/2015(37.7521716091721, -122.419560437883)
02/02/2015(37.7410543982056, -122.499264595602)
02/02/2015(37.7606186794333, -122.426153349478)
02/02/2015(37.7955038710773, -122.421608893207)
02/02/2015(37.7955038710773, -122.421608893207)
02/02/2015(37.7955038710773, -122.421608893207)
02/02/2015(37.7955038710773, -122.421608893207)
02/02/2015(37.7900391299667, -122.402194030894)
01/29/2015(37.789173205941, -122.409445484488)
01/29/2015(37.789173205941, -122.409445484488)
02/02/2015(37.7292626391341, -122.382475491131)
02/02/2015(37.7292626391341, -122.382475491131)
02/02/2015(37.7292626391341, -122.382475491131)
02/02/2015(37.7678692203902, -122.426696478904)
02/02/2015(37.7678692203902, -122.426696478904)
02/02/2015(37.7194743609572, -122.451272324188)
02/02/2015(37.7764111993722, -122.427115347351)
02/12/2014(37.7276340992506, -122.403595293514)
02/02/2015(37.7764111993722, -122.427115347351)
02/02/2015(37.7800478529923, -122.431979576386)
02/02/2015(37.7522391652625, -122.418448186101)
01/17/2015(37.7208541937972, -122.433466102789)
02/02/2015(37.7866144613366, -122.406401668335)
02/02/2015(37.7092121482901, -122.411968127281)
01/05/2015(37.7265698157203, -122.387714321434)
01/05/2015(37.7265698157203, -122.387714321434)
02/02/2015(37.7098457177238, -122.408640885133)
02/01/2015(37.7634954373144, -122.418486296575)
01/26/2015(37.7736186276456, -122.422315670749)
02/02/2015(37.7644902928075, -122.477111187189)
02/02/2015(37.7843944492068, -122.416916142188)
01/31/2015(37.8052052344314, -122.409302498033)
01/04/2015(37.7614166781504, -122.432901431254)
01/04/2015(37.7614166781504, -122.432901431254)
01/03/2015(37.7860311576362, -122.406351834294)
01/30/2015(37.7745985956747, -122.425891675136)
02/02/2015(37.7544534411473, -122.403524795218)
01/23/2015(37.776730300516, -122.495172258342)
01/23/2015(37.776730300516, -122.495172258342)
